obs,Oil,SP500,ln(OIL),ln(SP500),SPReturns,Unnamed: 6,Oil(+),Oil(-),Unnamed: 9,CPI,Real Oil,RealSP500,ln(realSP500),RealSPreturns,Unnamed: 15,Real oil(+),Real Oil(-),Date,WTI_Return,SP500_Return,WTI_Zscore,SP500_Zscore
2005M03,54.18997888877106,1180.5904810889153,3.992496,7.07377,-1.9302000000000596,3.992496,42.346675,-41.349911,2005M03,193.3,28.034132896415443,610.7555515203908,6.414696799773806,-2.7092223764948464,28.034132896415443,28.807258,-28.560397,2005-03-01,0.12544104631813702,-0.01911690918535447,1.3398786283481214,-0.5711197681389789
2005M04,52.97997436595514,1156.8499153721552,3.969914,7.053456,-2.0313999999999943,3.969914,42.346675,-41.372493,2005M04,194.6,27.225063908507263,594.475804405013,6.387680016236186,-2.701678353761938,27.225063908507263,28.807258,-28.589682,2005-04-01,-0.022328935121003535,-0.020109060759886055,-0.4133870312329298,-0.5947734531997073
2005M05,49.829989421425324,1191.499646674076,3.908617,7.082968,2.9512000000000427,3.908617,42.346675,-41.43379,2005M05,194.4,25.632710607729077,612.9113408817263,6.4182202939617525,3.0540277725566334,25.632710607729077,28.807258,-28.64995,2005-05-01,-0.059456143235773085,0.02995179481927357,-0.8538950315032922,0.5987172816198182
2005M06,56.34998644862764,1191.330465736379,4.031582,7.082826,-0.014200000000030855,4.031582,42.46964,-41.43379,2005M06,194.5,28.971715397752,612.509236882457,6.41756402292959,-0.06562710321622589,28.971715397752,28.929709,-28.64995,2005-06-01,0.13084484068541502,-0.00014198991847735876,1.4039937280680739,-0.11874255490585053
2005M07,58.99997380956839,1234.1799248055768,4.077537,7.118162,3.5336000000000034,4.077537,42.515595,-41.43379,2005M07,195.4,30.194459472655268,631.617157014113,6.448283446379409,3.0719423449818706,30.194459472655268,28.971047,-28.64995,2005-07-01,0.04702729366859115,0.03596773548698917,0.4095128096588026,0.742142106566909
2005M08,64.98997323021784,1220.3304967302183,4.174233,7.106877,-1.128499999999999,4.174233,42.612291,-41.43379,2005M08,196.4,33.090617734326806,621.3495400866692,6.4318937900677255,-1.6389656311683432,33.090617734326806,29.062638,-28.64995,2005-08-01,0.10152545897703469,-0.011221563239687371,1.0561242581742634,-0.3828884220037083
2005M09,65.5899839104048,1228.8106139368197,4.183423,7.113802,0.6924999999999848,4.183423,42.621481,-41.43379,2005M09,198.8,32.99294965312112,618.1139909138931,6.426672891765617,-0.5220898302108701,32.99294965312112,29.062638,-28.652906,2005-09-01,0.009232357706341787,0.006949033257239057,-0.03891766778541329,0.050313094716950835
2005M10,62.259989726262724,1207.0105961817906,4.131319,7.095902,-1.7900000000000027,4.131319,42.621481,-41.485894,2005M10,199.2,31.255014922822653,605.9290141474852,6.406762840837593,-1.9910050928023892,31.255014922822653,29.062638,-28.70702,2005-10-01,-0.05076985822546942,-0.017740746627494475,-0.7508337394223203,-0.5383109548774015
2005M11,58.319994885312745,1249.4803201863601,4.065945,7.130483,3.4581000000000195,4.065945,42.621481,-41.551268,2005M11,197.6,29.514167452081352,632.3280972603038,6.449408400674324,4.264555983673102,29.514167452081352,29.062638,-28.76433,2005-11-01,-0.06328293432544518,0.035185875036156666,-0.8992992559511116,0.7235019296623241
2005M12,59.410025999743624,1248.2901326556591,4.084463,7.12953,-0.09529999999999816,4.084463,42.639999,-41.551268,2005M12,196.8,30.188021341333137,634.2937665933226,6.452512201369938,0.3103800695614112,30.188021341333137,29.085213,-28.76433,2005-12-01,0.01869052143393435,-0.000952546039719504,0.07330183379930309,-0.13806685948598396
2006M01,65.48996992503669,1280.0801856620235,4.181897,7.154678,2.5147999999999726,4.181897,42.737433,-41.551268,2006M01,198.3,33.025703441773416,645.5270729510961,6.470067150462341,1.7554949092402516,33.025703441773416,29.175054,-28.76433,2006-01-01,0.10233868480918185,0.025466878392071512,1.0657730441529978,0.4917932959951323
2006M02,61.630014484644725,1280.660193347951,4.121149,7.155131,0.045300000000025875,4.121149,42.737433,-41.612016,2006M02,198.7,31.01661524139141,644.5194732501012,6.4685050364303205,-0.1562114032020112,31.01661524139141,29.175054,-28.827093,2006-02-01,-0.0589396428920379,0.00045310261999520485,-0.8477668429022422,-0.10455507403261294
2006M03,62.69000343002844,1294.8303996038132,4.138202,7.166135,1.1003999999999792,4.138202,42.754486,-41.612016,2006M03,199.8,31.376378093107327,648.0632630649716,6.473988319773638,0.5483283343317602,31.376378093107327,29.186586,-28.827093,2006-03-01,0.01719923245592958,0.01106476669569778,0.05560794409191133,0.14843546336125146
2006M04,69.43999511475072,1310.6100567895521,4.240463,7.178248,1.2113000000000262,4.240463,42.856747,-41.612016,2006M04,201.5,34.461536037097126,650.4268271908447,6.477628804601354,0.36404848277156177,34.461536037097126,29.280375,-28.827093,2006-04-01,0.10767253653537101,0.012186659496538743,1.1290582863500138,0.17518228276283257
2006M05,70.84001325312869,1270.0899452801,4.260424,7.146843,-3.140500000000035,4.260424,42.876708,-41.612016,2006M05,202.5,34.98272259413762,627.204911249432,6.441273299441497,-3.6355505159856527,34.98272259413762,29.295385,-28.827093,2006-05-01,0.02016155295034827,-0.03091698503268736,0.09075537217544603,-0.8524429902658964
2006M06,70.94997136415638,1270.200447912135,4.261975,7.14693,0.008700000000061436,4.261975,42.878259,-41.612016,2006M06,202.9,34.96795040125992,626.022892021752,6.439386939156322,-0.18863602851748595,34.96795040125992,29.295385,-28.827515,2006-06-01,0.0015522034225881054,8.700378461035108e-05,-0.13004139017374813,-0.11328316233644006
2006M07,74.40997459574801,1276.660546971264,4.30959,7.152003,0.5072999999999439,4.30959,42.925874,-41.612016,2006M07,203.5,36.56509808144865,627.3516201332993,6.441507181105441,0.21202419491190838,36.56509808144865,29.340048,-28.827515,2006-07-01,0.048766802368853446,0.005085889451344361,0.4301517840906186,0.005894259995767736
2006M08,73.03998274162049,1303.8203961672987,4.291007,7.173054,2.105099999999993,4.291007,42.925874,-41.630599,2006M08,203.9,35.82147265405615,639.4410966980375,6.460594508407682,1.9087327302240276,35.82147265405615,29.340048,-28.848062,2006-08-01,-0.01841140064313107,0.021274135290284102,-0.366906151940762,0.39183495553990194
2006M09,63.79998785562366,1335.8499033590983,4.155753,7.197323,2.426900000000032,4.155753,42.925874,-41.765853,2006M09,202.9,31.444055128449317,658.3784639522416,6.489779939156322,2.918543074864033,31.444055128449317,29.340048,-28.978399,2006-09-01,-0.1265059839715924,0.02456588904879342,-1.6494299709923825,0.4703129912553709
